gender,file_id,wer,cer,der,ref,hyp
male,m03030105401,0.1579,0.031,0,biometeorološka prognoza za sutra biometeorološki će uvjeti u većini krajeva biti povoljni pa će se ljudi uglavnom osjećati dobro,biometeorološka prognoza za sutra je bio meteorološki će uvjeti u većini krajeva biti povoljni pa će se ljudi uglavnom osjećati dobro
male,m03030105402,0.1176,0.0086,0,manje poteškoće uzrokovane vremenom moguće su kod iznimno osjetljivih ljudi u istočnoj hrvatskoj i na južnom jadranu,manje poteškoće uzrokovane vremenom moguće su kod iznimno osjetljiv ih ljudi u istočnoj hrvatskoj i na južnom jadranu
male,m03040105401,0.3077,0.0485,0,biometeorološka prognoza za sutra u cijeloj će zemlji prevladavati vrlo povoljni biometeorološki uvjeti,biometeorološka prognoza za sutra u cijeloj zemlji prevladava ti vrlo povoljni biometeorološke uvjeti
male,m03040105402,0.1875,0.0291,0,nakon mirnog sna većina će se ljudi osjećati dobro imati dobru koncentraciju i biti dobrog raspoloženja,nakon mirnog sna već i da će se ljudi osjećati dobro imati dobru koncentraciju i biti dobrog raspoloženja
male,m03040105403,0.2222,0.0526,0,treba upozoriti samo na hladno i ponegdje maglovito jutro,treba upozoriti samo na hladno i pod nigdje maglovito jutro
male,m03050203301,0.2381,0.0612,0,vremenska prognoza za sutra na jadranu i većem dijelu unutrašnjosti djelomice sunčano u slavoniji većinom oblačno mjestimice još sa slabim snijegom,vremenska prognoza za sutra na jadranu i većem dijelu unutrašnjosti dijelovi za sunčano u slavoniji većinom oblačno mjesto mi se još sa slabim snijegom
male,m03050203302,0.4211,0.1111,0,vjetar slab do umjeren sjeverni i sjeverozapadni na jadranu umjerena ujutro i prema kraju dana mjestimice i jaka bura,vjetar slab do umirem sjeverni sjeveru zapadni na jadranu umjereno ujutro i prema kraju da nam je stinice i jaka bura
male,m03050203303,0,0,0,jutarnja temperatura od minus devet do minus četiri na jadranu od jedan do šest,jutarnja temperatura od minus devet do minus četiri na jadranu od jedan do šest
male,m03050203304,0.2727,0.0676,0,vremenski izgledi do kraja tjedna djelomice sunčano hladno i uglavnom suho,vremenski izgledi do kraja tjedna bijelo mi se sunčano hladno i uglavnom suho
male,m03050203305,0.0769,0.0794,0,dnevna od minus dva do tri na jadranu od pet do deset stupnjeva,dnevna od minus dva do tri na jadranu od pet do 10 stupnjeva
male,m03070105401,0.2632,0.0496,0.0526,biometeorološka prognoza za sutra u većem dijelu zemlje prilike će biti vrlo povoljne što će poticajno djelovati na ljude,biometeorološka prognoza za sutra uveče dijelu zemlje prilike će biti vrlo povoljne što će poticaj do djelovati da ljude
male,m03070105402,0,0,0,zato bi se većina ljudi trebala osjećati dobro a tegobe ne bi trebali osjećati ni kronični bolesnici,zato bi se većina ljudi trebala osjećati dobro a tegobe ne bi trebali osjećati ni kronični bolesnici
male,m03070105403,0.1875,0.0189,0,manje poteškoće zbog visokih temperatura zraka za ovo doba godine mogu imati samo iznimno osjetljivi ljudi,manji poteškoće zbog visokih temperatura zraka za ovo doba godine mogu imati samo iznimno osjetljiv i ljudi
male,m03070602101,0.4583,0.1125,0,u slavoniji i dalmaciji djelomice sunčano u ostalim krajevima umjereno do znatno oblačno mjestimice s kišom vjetar umjeren i jak mjestimice na sjevernom jadranu,u slavoniji dalmaciji dijelovi za sunčano u ostalim krajevima umereno do znatno oblačno mjesto mi se s kišom vjetar u mjerenje jak mjestima se na sjevernom jadranu
male,m03070602102,0.75,0.1475,0.125,te u sjeverozapadnom kopnenom području i olujan jugozapadnjak,sjeveru zapadnom kopnenom području i oluja jugozapad njak
male,m03070602103,0.5,0.4062,0.3,najviša temperatura između osamnaest i dvadeset tri stupnja a u slavoniji i dalmaciji od dvadeset tri od dvadeset šest stupnjeva,najviša temperatura između 1823 stupnja a u slavoniji dalmaciji od 23 do 26 stupnjeva
male,m03071202401,0.1364,0.0379,0.0909,vremenska prognoza za sutra umjereno do pretežno oblačno u unutrašnjosti malo kiše ili snijega a u gorskom kotaru i lici slab snijeg,vremenska prognoza za sutra umjereno do pretežno oblačno unutrašnjosti malo kiše ili snijega u gorskom kotaru i liči slab snijeg
male,m03071202402,0.125,0.0364,0,dulja sunčana razdoblja na sjevernom i srednjem jadranu,donja sunčana razdoblja na sjevernom i srednjem jadranu
male,m03071202403,0.15,0.1207,0,temperatura od minus jedna do četiri stupnja a na jadranu od šest na sjevernom do trinaest na njegovom južnom dijelu,temperatura od minus jedan do četiri stupnja a na jadranu od 6 na sjevernom do 13 na njegovom južnom dijelu
male,m03071202404,0.375,0.0755,0,promijenjivo oblačno u unutrašnjosti ponegdje malo snijega a u utorak i srijedu na jadranu mjestimice kiša,promjenjive oblačno unutrašnjosti po negdje malo snijega a u utorak i srijedu na jadranu mjestima se kiša
male,m03071202405,0.3158,0.0435,0,vjetar povremeno umjeren istočni i sjeveroistočni a na jadranu umjerena i vrlo jaka na udare ponegdje i olujna bura,vjetar povremeno umjereno istočni i sjeveru istočni a na jadranu umjereno i vrlo jaka na udare po negdje i olujna bura
male,m03071202406,0.1667,0.0217,0,vremenski izgledi do sredine sljedećega tjedna,vremenski izgledi do sredine sljedećeg tjedna
male,m03071202407,0.5714,0.2308,0.1429,hladno na jadranu s burom i istočnjakom,hladno na jadranu zbogom istočna com
male,m03080105201,0.5,0.0938,0,sinoptičarka dunja plačko vršnak,sinoptička dunja plačko vršnjak
male,m03080105301,0.2222,0.0432,0,biometeorološka prognoza za sutra u unutrašnjosti će biometeorološki utjecaj biti razmjerno povoljan zbog utjecaja hladne fronte sa sjevera,biometeorološka prognoza za sutra u unutrašnjosti će biometeorološke uticaj biti razmer do povoljan zbog utjecaja hladne fronte sa sjevera
male,m03080105302,0.0833,0.0114,0,manje su poteškoće moguće kod meteoropata i reumatičara astmatičara te srčanih bolesnika,manje su poteškoće moguće kod meteoropata i reumaticara astmatičara te srčanih bolesnika
male,m03080105303,0.2778,0.0368,0,sunčano vrijeme pridonijet će dobrom raspoloženju posebice na jadranu ipak kod vrlo osjetljivih ljudi zbog razmjerno visokih temperatura,sunčano vrijeme pri donijet će dobrom raspoloženju posebice na jadranu ipak kod vrlo osjetljiv ih ljudi zbog razbijeno visokih temperatura
male,m03080105304,0.3333,0.1034,0,moguća je razdražljivost te glavobolja i poteškoće sa snom,moguće je razdražljivost i glavobolja i poteškoće sa slovom
male,m03100105301,0.2,0.0111,0,biometeorološka prognoza za sutra nastavlja se razdoblje povoljnih biometeoroloških uvjeta,biometeorološka prognoza za sutra nastavlja se razdoblje povoljnih bio meteoroloških uvjeta
male,m03100105302,0.1818,0.0361,0.0909,meteoropati ni kronični bolesnici ne bi trebali imati poteškoća uzrokovane vremenom,meteoropatije kronični bolesnici ne bi trebali imati poteškoća uzrokovane vremenom
male,m03100105303,0,0,0,a uz vedro i sunčano vrijeme većina bi ljudi mogla biti dobrog raspoloženja,a uz vedro i sunčano vrijeme većina bi ljudi mogla biti dobrog raspoloženja
male,m03110203401,0.3889,0.0569,0,stanje nad sjevernim jadranom zadržava se greben istočnoeuropske anticiklone a u jonskom moru i nad južnom italijom ciklona,stanje na sjevernom jadranom zadržava se greben istočno europska anticikloni a u jonskom moru i na dužnom italijom ciklona
male,m03110203402,0.5714,0.1875,0,u velebitskom kanalu ponegdje snijeg nošen burom,u vremenskom kanalu pa nigdje snijeg nošen borom
male,m03110203403,0.1429,0.0526,0,koja će se sporo pomicati na jugoistok,koja će se sporo pominjati na jugoistok
male,m03130105401,0,0,0,biometeorološka prognoza za sutra,biometeorološka prognoza za sutra
male,m03130105402,0.125,0.0357,0,uzrokovane vremenom i razmjerno visokom temperaturom za ovo doba godine biti razdražljivi i patiti od glavobolje,uzrokovane vremenom i razbijeno visokom temperaturom za ovo doba godine biti razdražljiva i patiti od glavobolje
male,m03130105403,0.3846,0.0825,0.0769,vrlo povoljni biometeorološki uvjeti prevladavat će u središnjim krajevima i na sjevernom jadranu,vrlo povoljniji biometeorološke uvjeti prevladavaju u središnjem krajevima i na sjevernom jadranu
male,m03130105404,0.2,0.0479,0,iako će biometeorološke prilike u većini krajeva biti razmjerno povoljne osjetljiviji ljudi i kronični bolesnici mogli bi osjećati manje poteškoće,i ako će biometeorološke prilike u većini krajeva biti razvijeno povoljne osetljivi ljudi i kronični bolesnici mogli bi osjećati manje poteškoće
male,m03131202201,0.1,0.0317,0.1,stanje plitka ciklona premješta se s južne italije na jugoistok,stanje plitka ciklona premješta se južne italije na jugoistok
male,m03131202501,0.25,0.0625,0,vremensko izvješće borivoj čapka,vremensko izvješće borivoj četka
male,m03160602101,0.2857,0.0513,0,vremenska prognoza za poslijepodne pretežito sunčano predvečer u unutrašnjosti ponegdje mogući pljuskovi i grmljavina,vremenska prognoza za poslijepodne pretežno sunčano predvečer unutrašnjosti pod negdje mogući pljuskovi i grmljavina
male,m03160602102,0.375,0.2703,0.125,vjetar slab na jadranu većinom umjeren maestral najviša temperatura između dvadeset osam i trideset tri stupnja,vjetar slab na jadranu većinom umirem mystral najviša temperatura između 28 i 33 stupnja
male,m03171204301,0.3846,0.0804,0,biometeorološka prognoza za sutra početkom dana još će prevladavati razmjerno nepovoljan biometeorološki utjecaj,biometeorološka prognoza za sutra početkom dana još će prema davati razvio do nepovoljan biometeorološke utjecaj
male,m03171204302,0.2,0.0299,0,ali će poslijepodne biti povoljniji zbog odmicanja ciklone na istok,ali će poslijepodne biti povoljniji zbog odmicanje cikloni na istok
male,m03171204303,0.3333,0.1264,0,zato bi se mnogi trebali osjećati bolje a tegobe kod kroničnih bolesnika bit će slabije,zato bi se mnogi trebali osjećati bolje a tegobe kod kredit kronični bolesnik a biće slabije
male,m03190203301,0.1333,0.0392,0,vremenska prognoza za sutra u unutrašnjosti u noći i prijepodne promjenljivo oblačno ponegdje s maglom,vremenska prognoza za sutra u unutrašnjosti u noći i prijepodne promenljivo oblačno nigdje s maglom
male,m03190203302,0.6,0.1327,0.0667,danju djelomice razvedravanje na jadranu sunčano ponegdje s umjerenom u noći većinom i jakom burom,danju dijelo mice razvedravanje na jadranu sunčano pa onde gdje su mirenom u noći većinom jakom borom
male,m03190203303,0.0667,0.0543,0,najniža jutarnja temperatura od minus deset do minus četiri na jadranu minus jedan do četiri,najniža jutarnja temperatura od minus 10 do minus četiri na jadranu minus jedan do četiri
male,m03190203304,0,0,0,izgledi vremena do kraja ovog tjedna,izgledi vremena do kraja ovog tjedna
male,m03190203305,0.3636,0.096,0.0455,samo je ponegdje moguć slab snijeg na jadranu uglavnom sunčano s umjerenom burom i istočnjakom a u subotu u dalmaciji i jugom,samo je podigni je moguće slab snijeg na jadranu uglavnom sunčano umjereno burom i istočna kom a u subotu u dalmaciji i jugo
male,m03190203306,0.5,0.1161,0.0625,oblačnije mjestimice s kišom očekuje se prema otvorenom moru posebice u subotu temperatura bez znatnije promjene,oblačim jesi mi se s kišom očekujete prema otvorenom moru posebice u subotu temperatura bez nas nije promjene
male,m03190203307,0.3636,0.0909,0,samo je mjestimice moguća poneka snježna pahulja osobito u istočnoj hrvatskoj,samo im je simice moguća ponekad snežna pahulja osobito u istočnoj hrvatskoj
male,m03190203308,0.75,0.1875,0,u unutrašnjosti djelomice sunčano pri čemu će biti oblačnije u gorskoj hrvatskoj,unutrašnjosti đelo mi se sunča da pričamo će biti oblači nije u gorskoj hrvatskoj
male,m03190203309,0.125,0.0408,0,osobito u drugom dijelu petka i subotu prijepodne,osobito u drugom dijelu petka i u subotu prijepodne
male,m03190203310,0.3846,0.3243,0,najviša dnevna od ništice do pet na jadranu od sedam do dvanaest stupnjeva,najviša dnevna od ništica do 5:00 na jadranu od 7 do 12 java
male,m03190203311,1,0.2258,0.1429,a poslijepodne će mjestimice zapuhati umjeren sjeverozapadnjak,poslijepodne će mesilice za puhati umirem sjeverno zapadno
male,m03190205101,0,0,0,vremenska prognoza za poslijepodne,vremenska prognoza za poslijepodne
male,m03190205102,0.3846,0.141,0.1538,prevladavat će sunčano više oblaka bit će tijekom dana u podravini i slavoniji,treba davati sunčano više oblaka biće tijekom dana u podravini slavoniji
male,m03190205103,0.2143,0.0247,0,ali navečer se na otocima južne i srednje dalmacije očekuje jača naoblaka s kišom,ali navečer se na otocima južne i srednje dalmacije očekuje jača na oblaka sa kišom
male,m03190205104,0.3636,0.0921,0.0909,vjetar u unutrašnjosti slab na jadranu većinom umjereno jugo i jugozapadnjak,vjetar unutrašnjosti slab na jadranu većinom umjereno jugo jugo za badnjak
male,m03190205105,0.2308,0.24,0,temperatura zraka od jedan do šest na jadranu od osam do dvanaest stupnjeva,temperatura zraka od jedan do šest na jadranu od 8:00 do 12:00 nema
male,m03200602101,0,0,0,vremenska prognoza za poslijepodne sunčano vruće i sparno vjetar uglavnom slab,vremenska prognoza za poslijepodne sunčano vruće i sparno vjetar uglavnom slab
male,m03200602102,0.2727,0.2597,0.0909,najviša temperatura u većini krajeva između trideset i trideset pet stupnjeva,najviša temperatura u većini krajeva između 30 i 35 stupnjeva
male,m03230103101,0.375,0.0769,0,vremenska prognoza za poslijepodne u nizinama unutrašnjosti većinom maglovito ili oblačno a u gorju djelomice sunčano,vremenska prognoza za poslijepodne unizi nama unutrašnjosti većinom maglovito ili oblačno a u gori odijelo mi se sunčano
male,m03230103102,0.3333,0.0465,0,na jadranu sunčano uz promjenjivu naoblaku a u dalmaciji ponegdje kratkotrajan pljusak,na jadranu sunčano uz promjenjive naoblake a u dalmaciji pod negdje kratkotrajan pljusak
male,m03230103103,0.2105,0.192,0,ponegdje i olujna bura najviša temperatura zraka između jedan i četiri na jadranu uglavnom od jedanaest do šesnaest stupnjeva,nigdje i olujna bura najviša temperatura zraka između jedan i četiri na jadranu uglavnom od 11:00 do 16:00 pjeva
male,m03230103104,0.3846,0.1,0.0769,vjetar uglavnom slab a na jadranu poslijepodne i osobito navečer umjerena i jaka,vjetar uglavnom slaba na jadranu poslije 12:00 i osobito navečer umjereno i jaka
male,m03230103201,0.5,0.0645,0,vremensko izvješće zoran vakula,vremenska izvješće zoran bakula
male,m03241202301,0.2727,0.0541,0.0455,vremenska prognoza za sutra umjereno i znatno oblačno ponegdje u unutrašnjosti ponajprije u gorskim predjelima malo snijega a u dalmaciji slaba kiša,vremenska prognoza za sutra umjereno i znatno oblačno negdje unutrašnjosti po najprije u gorskim predelima malo snijega u dalmaciji slaba kiša
male,m03241202302,0.2941,0.125,0,vjetar većinom slab sjeveroistočnjak a na jadranu umjerena bura jutarnja temperatura od minus pet do minus jedan,vjetar većinom sjeveru istočni ak na jadranu umire na bura jutarnja temperatura od minus pet do minus jedan
male,m03241202303,0.1,0.1048,0,na jadranu od četiri do osam stupnjeva dnevna minus tri do dva a na jadranu od osam do dvanaest stupnjeva,na jadranu od četiri do osam stupnjeva dnevna od minus tri do dva a na jadranu od osam do 12 stupnjeva
male,m03241204201,0.1429,0.0094,0,biometeorološka prognoza za sutra zbog ciklone biometeorološki će utjecaj biti nepovoljan u cijeloj zemlji,biometeorološka prognoza za sutra zbog ciklone bio meteorološki će utjecaj biti nepovoljan u cijeloj zemlji
male,m03241204202,0.2308,0.0471,0,meteoropati bi mogli patiti od glavobolje te imati poteškoća sa snom i koncentracijom,meteoropate bi mogli patiti od glavobolje ti imati poteškoća sa satom i koncentracijom
male,m03241204203,0.1818,0.0704,0,tegobe su moguće i kod kroničnih srčanih plućnih i reumatskih bolesnika,ove su moguće i kod hroničnih srčanih plućnih i reumatskih bolesnika
male,m03241204301,0.1429,0.0566,0.0714,biometeorološka prognoza za sutra zbog ciklone biometeorološki će utjecaj biti nepovoljan u cijeloj zemlji,biometeorološka prognoza za sutra ciklone biometeorološke će utjecaj biti nepovoljan u cijeloj zemlji
male,m03241204302,0.1538,0.0353,0,meteoropati bi mogli patiti od glavobolje te imati poteškoća sa snom i koncentracijom,meteoropata bi mogli patiti od glavobolje te imati poteškoća sa sanjom i koncentracijom
male,m03241204303,0.0909,0.0141,0,tegobe su moguće i kod kroničnih srčanih plućnih i reumatskih bolesnika,tegobe su moguće i kod hroničnih srčanih plućnih i reumatskih bolesnika
male,m03251202101,0.1333,0.0392,0.0667,vremenska prognoza za poslijepodne većinom oblačno u kopnenom području malo snijega a u dalmaciji kiše,vremenska prognoza za poslijepodne većinom oblačno u kopnenom području malo snijega u dalmaciji i kiše
male,m03251202102,0.4444,0.1071,0.0556,vjetar slab istočni i sjeveroistočni a na jadranu umjerena ponegdje i jaka bura podno velebita s olujnim udarima,vjetar slab istočni i sjeveru istočni ja na jadranu umire naponi gdje i jaka bura podno velebita solidnim udarima
male,m03251202103,0.3182,0.1811,0.0455,na južnom dijelu umjereno jugo i istočnjak temperatura zraka od minus dva do dva a na jadranu između sedam i trinaest stupnjeva,na južnom dijelu umjereno jugoistočni jak temperatura zraka od minus dva do 2:00 h na jadranu između 7 i 13 stupnjeva
male,m03270104401,0.4545,0.18,0.0909,izvještaj pomorskoga meteorološkog centra split državnog hidrometeorološkog zavoda od osamnaest sati,izveštaji pomorsko da meteorološkog centra split državnog hidrometeorološkog zavoda od 18:00
male,m03270104402,1.2222,0.2162,0,upozorenje mjestimice neverini mjestimice udari juga i jugozapadnog vjetra,upozorenje mjesto mi se ne brini mjesto mi se udario ga jugozapadnom vjetra
male,m03270104403,0.1875,0.1727,0.0625,trideset do četrdeset čvorova stanje dolina s frontalnim poremećajem se sporo premješta preko jadrana na istok,30 do 40 čvorova stanje dolina frontalnim poremećajem se sporo premješta preko jadrana na istok
male,m03270104404,0.375,0.2569,0.125,vremenska prognoza za jadran za prvih dvanaest sati sjeverni i sjeverozapadni vjetar šest do šesnaest čvorova,vremenska prognoza za jadran za prvih 12 sati sjeverni sjeverno zapadni vjetar 616 čvorova
male,m03270104405,0,0,0,brzo će oslabiti i zatim će se ponovno pojačati jugo,brzo će oslabiti i zatim će se ponovno pojačati jugo
male,m03270104406,0.3333,0.3621,0,more tri do četiri vidljivost deset do dvadeset kilometara,more tri do četiri vidljivost 10 do 20 km
male,m03270104407,0.3846,0.0918,0,promjenjivo do pretežno oblačno mjestimice s kišom pljuskovima i grmljavinom temperatura malo niža,promijeni vodo pretežno oblačno jesi mi se s kišom pljuskovima i grmljavinom temperatura malo niža
male,m03270104408,0.3684,0.1135,0,prognoza za sljedećih dvanaest sati promjenjivo do pretežno oblačno s kišom mjestimice pljuskovi i grmljavina na sjevernom jadranu susnježica,prognoza za sljedećih 12 sati promjenjive do pretežno oblačno sa kišom jesi mi se pljuskovi i grmljavina na sjevernom jadranu susnežica
male,m03270104409,0.375,0.1402,0,na južnom dijelu jadrana umjeren do jak jugozapadni vjetar postupno će okrenuti na zapadni i sjeverozapadni,još do bijelu jadrana umirem do jak jugozapadni vjetar postupno će okrenuti na zapadni i sjeverni zapadni
male,m03270104410,0.3077,0.0824,0,drugdje umjeren do jak sjeverozapadni vjetar i bura more umjereno valovito i valovito,drug nije umirem do jak severozapadni vjetar i bura more umjereno valovito i valovito
male,m03270104411,0.3333,0.0575,0.0833,a sutra na sjevernom i dijelu srednjeg jadrana sjeverozapadnog i sjeveroistočnog vjetra,a sutra na sjevernom dijelu srednjeg jadrana severozapadnog i sjeveru istočnog vjetra
male,m03270104412,0.4667,0.2596,0.0667,a sutra na sjevernom jadranu sjeveroistočni i sjeverozapadni vjetar na dvanaest do dvadeset četiri čvora,a sutra na sjevernom jadranu sjeveru istočni i sjeverno zapadni vjetar na 12 do 24 čvora
female,z03030402401,1,0.2895,0.1,unutrašnjosti i na sjevernom jadranu djelomice sunčano s umjerenom naoblakom,gosti na sjevernom jadranu đelo mi se sunčano su mi ranom na oblakom
female,z03030402402,0.6429,0.1807,0.0714,jača naoblaka samo ponegdje s malo kiše ili kratkotrajan pljusak u dalmaciji i lici,jačina oblaka samo poni gas malo piše ili kratko trebam pljusak u dalmaciji ilici
female,z03030402403,0.4211,0.1,0.0526,vjetar slab do umjeren na sjevernom jadranu povremeno i jak sjeveroistočni na srednjem i južnom umjeren istočnjak i jugo,vjetar slab da umirem na sjevernom jadranu povremeno i jak severoistočni na srednjim južnom umjereno istočni aki jugo
female,z03030402404,0.3333,0.3556,0,temperatura od petnaest do dvadeset stupnjeva,temperatura od 15 do 20 stupnjeva
female,z03030602301,0.55,0.1417,0.1,vremenska prognoza za sutra djelomice sunčano s promjenljivom naoblakom u noći i prije podne na jadranu te u gorskim predjelima,vremenska prognoza za sutra bilo mi se sunčano spremljeni vam na oblakom u noći prijepodne na jadranu te u gorskim predelima
female,z03030602302,0.7647,0.217,0.0588,mjestimice pljuskovi s grmljavinom vjetar slab do umjeren okrenut će na jugozapadnjak a na jadranu na jugo,jeste mi se pljuskovi sa grmljavinom prijateljstva da umjereno krenuće na jugozapad jak a na jadranu na yugo
female,z03030602303,0.4091,0.3986,0.0909,najniža temperatura između osam i trinaest stupnjeva na jadranu od četrnaest do devetnaest a najviša od dvadeset tri do dvadeset osam stupnjeva,najniža temperatura između 8 i 13 stupnjeva na jadranu od 14 do 19 a najviše od 23 do 28 stupnjeva
female,z03050103201,0.7308,0.2716,0.1538,mjestimice nevere na sjevernom jadranu ponegdje udari bure a drugdje jugozapadnog i zapadnog vjetra od trideset do četrdeset i pet čvorova koji će u noći oslabiti,mjesto mi se ne dere na sjevernom jadranu po negdje udari bure a drugdje jugozapad noge zapadnog vetra od 30 do 45 morava hoćemo naći oslabiti
female,z03050103301,0.2222,0.069,0,vremenska prognoza za sutra djelomice sunčano ujutro na južnom jadranu kratkotrajna kiša a u slavoniji i lici snijeg,vremenska prognoza za sutra dijelovi za sunčano ujutro na južnom jadranu kratkotrajna kiša a u slavoniji ili si snijeg
female,z03050103302,0.3333,0.061,0.1333,u noći na utorak nova jača naoblaka zatim kiša na jadranu a u unutrašnjosti snijeg,u noćna utorak nova jača na oblaka zatim kiša na jadranu a unutrašnjosti snijeg
female,z03050103303,0.0556,0.01,0,još hladnije uz jutarnje temperature od minus sedam do minus dva stupnja na jadranu od jedan do šest,još hladnije uz jutarnji temperature od minus sedam do minus dva stupnja na jadranu od jedan do šest
female,z03050103304,0.2143,0.2105,0,a dnevna od minus četiri do jedan stupanj na jadranu između šest i jedanaest,a dnevna od minus četiri do 1 stopanje na jadranu između šest i 11
female,z03050103305,0.375,0.236,0.1875,vjetar u unutrašnjosti slab a na jadranu bura će oslabjeti i okrenuti na istočnjak i jugo,unutrašnjosti slab a na jadranu bura će ostaviti i okrenuti na istočne cuba
female,z03060502101,0,0,0,vremenska prognoza za poslijepodne,vremenska prognoza za poslijepodne
female,z03060502102,1.1667,0.1837,0,uglavnom sunčano mjestimice s umjerenom naoblakom,uglavnom sunčano mjesto mi se su mirenom na oblakom
female,z03060502103,0.0909,0.0141,0,kratkotrajni pljuskovi i grmljavine uglavnom u gorju i na istoku zemlje,kratkotrajni pljuskovi i grmljavina uglavnom u gorju i na istoku zemlje
female,z03060502104,0.8,0.2,0,vjetar slab a na jadranu ponegdje umjeren sjeverozapadnjak i zapadnjak,vjetar slab a na jadranu ponudio mjere na sjeveru zapadu aki za badnjak
female,z03060502105,0.4,0.3662,0.2,najviša temperatura zraka većinom od dvadeset do dvadeset pet stupnjeva,najviša temperatura većinom od 20 do 25 stupnjeva
female,z03060502201,0,0,0,izvještaj pomorskog meteorološkog centra split državnog hidrometeorološkog zavoda stanje,izvještaj pomorskog meteorološkog centra split državnog hidrometeorološkog zavoda stanje
female,z03060502202,0.2353,0.1466,0,nad jadranom se zadržava polje malo povišenog atmosferskog tlaka vremenska prognoza za jadran za prvih dvanaest sati,jer nam se zadržava polja malo povišenog atmosferskog tlaka vremenska prognoza za jadran za prvih 12 sati
female,z03060502203,0.5882,0.4375,0.2941,vjetar zapadni i sjeverozapadni šest do dvanaest čvorova more dva do tri vidljivost deset do dvadeset kilometara,vjetar zapadni severozapadni 612 čvorova more dva do tri vidimo 20 km
female,z03060502204,0.5,0.1607,0,pretežito vedro sa slabom do umjerenom naoblakom toplije,pretežno vedro sa slabom doniranom na oblakom toplije
female,z03060502205,0.3125,0.1262,0,vremenska prognoza za slijedećih dvanaest sati malo do umjereno oblačno uz obalu slaba do umjerena bura,vremenska prognoza za sljedećih 12 sati malo do umjereno oblačno uz obalu slaba da umire na bura
female,z03060502206,0.375,0.2069,0,na otvorenom moru slab sjeverozapadnjak more malo valovito,na otvorenom moru slepci brze badnjak more malo valovito
female,z03060502301,0.1111,0.0333,0,vremenska prognoza za sutra pretežito sunčano i malo toplije,vremenska prognoza za sutra pretežno sunčano i malo toplije
female,z03060502302,0.7857,0.134,0.0714,ujutro mjestimice kratkotrajna magla osobito u posavini i lici a danju ponegdje umjerena naoblaka,ujutro mi je stanice kratkotrajna magla osobito u posavini liči a danju po negdje u mjere na navlaka
female,z03060502303,0.75,0.1707,0,vjetar slab a na jadranu mjestimice umjeren zapadnjak i jugozapadnjak navečer jugo,vjetar slab ana jadranom jesenice umirem za badnjak i jugozapad njak navečer juga
female,z03060502304,0.4545,0.4336,0.0909,jutarnja temperatura od četiri do devet na jadranu od deset do četrnaest stupnjeva dnevna uglavnom od dvadeset jedan do dvadeset šest stupnjeva,jutarnja temperatura od 4:00 do 9:00 na jadranu od 10 do 14 ukljeva dnevna uglavnom od 21 do 26 java
female,z03080602101,0.75,0.1515,0.0625,vremenska prognoza za poslijepodne djelomice sunčano uz promjenljivu naoblaku mjestimice kratkotrajna kiša ili pljusak s grmljavinom,vremenska prognoza za posle podne bilo mi se sunčano uz promjenjive naoblake mjesto mi se kratkotrajna kiša ili pljusak grmljavina
female,z03080602102,0.3077,0.122,0.0769,ponajprije na sjevernom jadranu te u gorskoj hrvatskoj gdje će biti i najoblačnije,prije na sjevernom jadranu te u gorskoj hrvatskoj gde će biti najobičnije
female,z03080602103,0.4545,0.2029,0.0909,vjetar slab do umjeren jugozapadni a na jadranu većinom umjereno jugo,mislim da umirem jugozapadni a na jadranu većinom umjereno juga
